LineId,Content,EventId,EventTemplate,ParameterList
1,- ERROR - /localdisk/6500_repo/tools/copera/bin/runjob.py.main(214) : Job Type: _6500_build.cc Name: ctmp had an exception,4ba54dcf,- ERROR - /localdisk/6500_repo / tools / copera / bin / <*> ) : Job Type : _ 6500_build.cc Name : ctmp had an exception,[]
2,- ERROR - /localdisk/6500_repo/tools/copera/bin/runjob.py.main(215) : Job Type: _6500_build.cc Name: ctmp had an exception,4ba54dcf,- ERROR - /localdisk/6500_repo / tools / copera / bin / <*> ) : Job Type : _ 6500_build.cc Name : ctmp had an exception,[]
3,- ERROR - /localdisk/6500_repo/tools/copera/bin/runjob.py.main(215) : Job Type: _6500_build.cc Name: ctmp had an exception,4ba54dcf,- ERROR - /localdisk/6500_repo / tools / copera / bin / <*> ) : Job Type : _ 6500_build.cc Name : ctmp had an exception,[]
4,- ERROR - /localdisk/6500_repo/tools/copera/bin/runjob.py.main(216) : Job Type: _6500_build.cc Name: ctmp had an exception,4ba54dcf,- ERROR - /localdisk/6500_repo / tools / copera / bin / <*> ) : Job Type : _ 6500_build.cc Name : ctmp had an exception,[]
